Name,Shelf Life (days),Storage Requirements,Health Benefits
Carrot,30,Refrigeration,"Improves vision, rich in Vitamin A"
Spinach,7,Refrigeration,"High in iron, good for bone health"
Tomato,7,"Cool, dry place","Rich in antioxidants, supports heart health"
Broccoli,10,Refrigeration,"Boosts immune system, rich in Vitamin C"
Potato,60,"Cool, dark place","Provides energy, good source of potassium"
Bell Pepper,10,Refrigeration,"Rich in Vitamin C, supports immune system"
Kale,7,Refrigeration,"High in antioxidants, promotes heart health"
Eggplant,7,"Cool, dry place","Supports brain health, high in fiber"
Zucchini,5,Refrigeration,"Low in calories, supports digestion"
Cauliflower,10,Refrigeration,"Rich in fiber, supports digestive health"
Cabbage,15,Refrigeration,"Good for digestion, rich in Vitamin K"
Sweet Potato,30,"Cool, dark place","Rich in beta-carotene, promotes eye health"
Green Beans,7,Refrigeration,"High in Vitamin K, supports bone health"
Onion,60,"Cool, dry place","Anti-inflammatory, supports heart health"
Garlic,120,"Cool, dry place","Boosts immune system, anti-inflammatory"
Lettuce,5,Refrigeration,"Low in calories, supports digestion"
Beetroot,14,"Cool, dry place","Rich in nitrates, supports heart health"
Radish,10,Refrigeration,"Supports digestion, high in antioxidants"
Pumpkin,60,"Cool, dry place","High in Vitamin A, supports immune system"
Peas,5,Refrigeration,"High in protein, supports eye health"
Corn,7,"Cool, dry place","Good source of energy, high in fiber"
Asparagus,7,Refrigeration,"Supports bone health, rich in Vitamin K"
Cucumber,7,Refrigeration,"Hydrating, supports skin health"
Brussels Sprouts,10,Refrigeration,"High in fiber, supports digestive health"
Leek,7,Refrigeration,"Supports cardiovascular health, high in Vitamin K"
Turnip,14,"Cool, dry place","Rich in Vitamin C, supports digestion"
Okra,7,Refrigeration,"High in fiber, supports digestive health"
Celery,14,Refrigeration,"Low in calories, supports hydration"
Fennel,10,Refrigeration,"Supports digestion, rich in fiber"
Artichoke,7,Refrigeration,"High in antioxidants, supports liver health"
Swiss Chard,7,Refrigeration,"Rich in vitamins A and C, supports bone health"
Bok Choy,10,Refrigeration,"High in calcium, supports bone health"
Rhubarb,7,Refrigeration,"High in antioxidants, supports digestion"
Parsnip,30,"Cool, dry place","High in potassium, supports heart health"
Endive,5,Refrigeration,"Supports digestive health, high in fiber"
Collard Greens,10,Refrigeration,"High in calcium, supports bone health"
Rutabaga,30,"Cool, dry place","Rich in Vitamin C, supports immune health"
Kohlrabi,14,Refrigeration,"Supports digestion, high in fiber"
Jicama,14,"Cool, dry place","Low in calories, supports digestive health"
Scallion,10,Refrigeration,"High in Vitamin K, supports bone health"
Mustard Greens,7,Refrigeration,"Rich in antioxidants, supports heart health"
Chayote,14,"Cool, dry place","Supports digestion, rich in Vitamin C"
Sunchoke,14,"Cool, dry place","High in potassium, supports digestive health"
Watercress,5,Refrigeration,"Rich in antioxidants, supports eye health"
Broccolini,7,Refrigeration,"High in Vitamin C, supports immune health"
Tomatillo,14,"Cool, dry place","Rich in Vitamin C, supports immune health"
Bamboo Shoots,7,Refrigeration,"Low in calories, supports digestion"
Acorn Squash,30,"Cool, dry place","Rich in Vitamin A, supports vision health"
Daikon Radish,14,Refrigeration,"High in Vitamin C, supports digestion"
Bitter Melon,7,Refrigeration,"Supports blood sugar regulation, high in Vitamin C"
Dandelion Greens,5,Refrigeration,"Rich in antioxidants, supports liver health"
Cassava,30,"Cool, dry place","High in carbohydrates, supports energy production"
Mizuna,7,Refrigeration,"High in antioxidants, supports immune health"
Taro Root,30,"Cool, dry place","High in fiber, supports digestive health"
Purslane,5,Refrigeration,"Rich in Omega-3 fatty acids, supports heart health"
